web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,promo,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
"1669205509-16","https://shopee.co.id/mall/brands/11042849","Zaskia Mecca","https://shopee.co.id/zaskiamecca.official","","1,3RB","100% (hitungan jam)","1,9JT","4.8 (889,4RB penilaian)","6 tahun lalu","null","KOTA DEPOK","65%offZM Zaskia Mecca - Penyengat Dusty Green Scarf Kerudung Segi Empat Ultra SonicDiskon 10%Pilih 3, diskon 5%Rp189.000Rp67.0001,4RB TerjualKOTA DEPOK","https://shopee.co.id/ZM-Zaskia-Mecca-Penyengat-Dusty-Green-Scarf-Kerudung-Segi-Empat-Ultra-Sonic-i.12654106.6984957612?sp_atk=7837c60f-3631-4366-ab40-12352ab93043&xptdk=7837c60f-3631-4366-ab40-12352ab93043","null","null","null","null","null"
"1669205534-17","https://shopee.co.id/mall/brands/11042849","Zanetti","https://shopee.co.id/zanettiofficial","","33","100%","822","4.9 (16 penilaian)","27 bulan lalu","null","KOTA JAKARTA UTARA","ZL 75004 Zanetti Kemeja Basic Polos Slim Fit Lengan Panjang Hitam PekatRp249.0003 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/ZL-75004-Zanetti-Kemeja-Basic-Polos-Slim-Fit-Lengan-Panjang-Hitam-Pekat-i.300622025.9010811787?sp_atk=69ae2a1e-0074-4a3a-98a1-3fc969ef51ff&xptdk=69ae2a1e-0074-4a3a-98a1-3fc969ef51ff","null","null","null","null","null"
"1669205560-18","https://shopee.co.id/mall/brands/11042849","Zalora","https://shopee.co.id/tolliverofficialshop","","3,3RB","99% (hitungan jam)","120,2RB","4.8 (13,7RB penilaian)","3 tahun lalu","null","KOTA BEKASI","60%offTolliver Hoodies With Zipper NavyDiskon 5%Rp349.000Rp139.000233 TerjualKOTA BEKASI","https://shopee.co.id/Tolliver-Hoodies-With-Zipper-Navy-i.166667048.4439560886?sp_atk=cd013450-42f9-4505-b479-6d83dff70f95&xptdk=cd013450-42f9-4505-b479-6d83dff70f95","null","null","null","null","null"
"1669205592-19","https://shopee.co.id/mall/brands/11042849","Zaemerci","https://shopee.co.id/zaemerci","","105","98% (hitungan jam)","23RB","4.8 (13,2RB penilaian)","33 bulan lalu","null","KOTA BANDUNG","20%offZaemerci - Kimono Kanvas  Lengan Panjang  Pria | Outer Casual Unisex OriginalDiskon 50%Pilih 2, diskon Rp15.000Rp72.000 - Rp153.0004,8RB TerjualKOTA BANDUNG","https://shopee.co.id/Zaemerci-Kimono-Kanvas-Lengan-Panjang-Pria-Outer-Casual-Unisex-Original-i.228751626.9915157509?sp_atk=5042d605-12b3-498a-86d7-b110c2ab1aa7&xptdk=5042d605-12b3-498a-86d7-b110c2ab1aa7","null","null","null","null","null"
"1669205623-20","https://shopee.co.id/mall/brands/11042849","Yesterday","https://shopee.co.id/yesterdayofficial","","435","95% (hitungan jam)","126RB","4.7 (131,9RB penilaian)","3 tahun lalu","null","KOTA BANDUNG","60%offYesterday Waistbag Full Print Takei BlackDiskon Rp2,5RBPilih 3, bayar Rp195.000Rp195.000Rp78.0002,7RB TerjualKOTA BANDUNG","https://shopee.co.id/Yesterday-Waistbag-Full-Print-Takei-Black-i.173440820.5556050824?sp_atk=c8d33a9e-75b0-4154-8c00-21f0f0849a7b&xptdk=c8d33a9e-75b0-4154-8c00-21f0f0849a7b","null","null","null","null","null"
"1669205650-21","https://shopee.co.id/mall/brands/11042849","YEGE","https://shopee.co.id/yegeindonesia","","592","37% (hitungan jam)","7,4RB","4.7 (4,8RB penilaian)","4 tahun lalu","null","KOTA JAKARTA UTARA","YEGE Kemeja Koko Pria Putih HADAAD Lengan PanjangRp149.900144 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/YEGE-Kemeja-Koko-Pria-Putih-HADAAD-Lengan-Panjang-i.85448016.6642570864?sp_atk=d2c8b7d3-8dbc-4c2f-9726-d368015f8c5a&xptdk=d2c8b7d3-8dbc-4c2f-9726-d368015f8c5a","null","null","null","null","null"
"1669205675-22","https://shopee.co.id/mall/brands/11042849","Yauds.co","https://shopee.co.id/yauds.co","","37","20% (hitungan jam)","1,3RB","4.8 (50 penilaian)","4 tahun lalu","null","KOTA JAKARTA SELATAN","YAUDS.co x SPEAK UP TshirtRp220.0008 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/YAUDS.co-x-SPEAK-UP-Tshirt-i.128826850.9467307541?sp_atk=790cfbe9-19c5-498c-8dde-935f55d112eb&xptdk=790cfbe9-19c5-498c-8dde-935f55d112eb","null","null","null","null","null"
"1669205698-23","https://shopee.co.id/mall/brands/11042849","Yard Sale","https://shopee.co.id/yardsaleofficial","","690","68% (hitungan jam)","698","4.9 (99 penilaian)","22 bulan lalu","null","KOTA JAKARTA PUSAT","50%offYard Sale Costuum Kitsune Nylon Waist Bag OliveRp399.000Rp199.5001 TerjualKOTA JAKARTA PUSAT","https://shopee.co.id/Yard-Sale-Costuum-Kitsune-Nylon-Waist-Bag-Olive-i.383744581.4081437312?sp_atk=19ac9327-edcd-43a8-be9c-080cc770f1d7&xptdk=19ac9327-edcd-43a8-be9c-080cc770f1d7","null","null","null","null","null"
"1669205722-24","https://shopee.co.id/mall/brands/11042849","YAMASURIH","https://shopee.co.id/yamasurih.official","","57","36% (hitungan menit)","1,1RB","4.9 (171 penilaian)","29 bulan lalu","null","KOTA BANDUNG","Yamasurih - Kaos Hitam ""Pecker Bozo"" T-ShirtRp200.00034 TerjualKOTA BANDUNG","https://shopee.co.id/Yamasurih-Kaos-Hitam-Pecker-Bozo-T-Shirt-i.272365407.4863866211?sp_atk=2ed008d5-e0d1-4147-b312-2075d14c3d39&xptdk=2ed008d5-e0d1-4147-b312-2075d14c3d39","null","null","null","null","null"
"1669205747-25","https://shopee.co.id/mall/brands/11042849","YAJUGAYA","https://shopee.co.id/yajugayaindonesia","","68","87% (hitungan jam)","1,4RB","4.9 (232 penilaian)","3 tahun lalu","null","KOTA BEKASI","Yajugaya - SituasuRp215.00035 TerjualKOTA BEKASI","https://shopee.co.id/Yajugaya-Situasu-i.161754161.2429683023?sp_atk=74973b07-e5c2-485e-94d7-6176a893d79a&xptdk=74973b07-e5c2-485e-94d7-6176a893d79a","null","null","null","null","null"
"1669205772-26","https://shopee.co.id/mall/brands/11042849","XXMAKE","https://shopee.co.id/xxmake_official","","57","100% (hitungan menit)","82,2RB","4.8 (54RB penilaian)","31 bulan lalu","null","KAB. TANGERANG","51%offXXMake Elastic Cover Sofa Bed Penutup Sofa Pattern Modern Menarik Sarung Sofa Bed S M L Penutup Sofa Bed ElastisDiskon 20%Murah LebayRp83.000 - Rp114.00010RB+ TerjualKAB. TANGERANG","https://shopee.co.id/XXMake-Elastic-Cover-Sofa-Bed-Penutup-Sofa-Pattern-Modern-Menarik-Sarung-Sofa-Bed-S-M-L-Penutup-Sofa-Bed-Elastis-i.253240817.12446645553?sp_atk=2b427788-159c-444a-ab29-da102cf126a5&xptdk=2b427788-159c-444a-ab29-da102cf126a5","null","null","null","null","null"
"1669205797-27","https://shopee.co.id/mall/brands/11042849","X8","https://shopee.co.id/x8official","","2,1RB","93% (hitungan jam)","159,8RB","4.9 (20,2RB penilaian)","5 tahun lalu","null","KOTA JAKARTA BARAT","50%offBLUELINE by X8 Nino T-Shirt Pakaian PriaHadiah GratisRp189.900Rp94.950382 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/BLUELINE-by-X8-Nino-T-Shirt-Pakaian-Pria-i.66854073.9423501364?sp_atk=603ab83c-db6d-4077-9bec-3581981ee8aa&xptdk=603ab83c-db6d-4077-9bec-3581981ee8aa","null","null","null","null","null"
"1669205821-28","https://shopee.co.id/mall/brands/11042849","X Urban Absolute","https://shopee.co.id/xurbandabsolute","","253","92% (hitungan jam)","173,4RB","4.8 (31,2RB penilaian)","34 bulan lalu","null","KAB. BANDUNG","20%offX Urband Absolute Jaket Sukajan Raion Terlaris A096Kombo HematRp60.000 - Rp89.60010RB+ TerjualKAB. BANDUNG","https://shopee.co.id/X-Urband-Absolute-Jaket-Sukajan-Raion-Terlaris-A096-i.224747419.9127208738?sp_atk=f6737653-4c8b-451a-9049-904031c77dc0&xptdk=f6737653-4c8b-451a-9049-904031c77dc0","null","null","null","null","null"
"1669205851-29","https://shopee.co.id/mall/brands/11042849","Wrangler","https://shopee.co.id/wranglerofficial","","1,1RB","58% (hitungan jam)","160RB","4.8 (30,1RB penilaian)","5 tahun lalu","null","KOTA BEKASI","20%offWrangler Jeans Texasbmcbc01A18Diskon Rp40RBRp459.900Rp367.920567 TerjualKOTA BEKASI","https://shopee.co.id/Wrangler-Jeans-Texasbmcbc01A18-i.55945766.4815275614?sp_atk=6f3124cb-c877-4352-9b41-0bd681b92b26&xptdk=6f3124cb-c877-4352-9b41-0bd681b92b26","null","null","null","null","null"
"1669205875-30","https://shopee.co.id/mall/brands/11042849","Worth ID","https://shopee.co.id/worthid.clothing","","438","87% (hitungan jam)","139,2RB","4.8 (42,5RB penilaian)","6 tahun lalu","null","KOTA BEKASI","25%offWORTH ID Kemeja Pria Cotton Pique Panjang BlackDiskon 50%Rp150.000 - Rp199.0002RB TerjualKOTA BEKASI","https://shopee.co.id/WORTH-ID-Kemeja-Pria-Cotton-Pique-Panjang-Black-i.11950297.1509390338?sp_atk=69ff5cda-28a1-41a1-9d86-0f32ba37e3a4&xptdk=69ff5cda-28a1-41a1-9d86-0f32ba37e3a4","null","null","null","null","null"
"1669205905-31","https://shopee.co.id/mall/brands/11042849","Wormhole","https://shopee.co.id/wormholestore","","537","91% (hitungan jam)","95,2RB","4.9 (12,9RB penilaian)","4 tahun lalu","null","KOTA BANDUNG","5%offW.Essentiels Jaket Ecume Oversize Hoodie Olive EssentielsDiskon 10%Rp499.000Rp474.0501,2RB TerjualKOTA BANDUNG","https://shopee.co.id/W.Essentiels-Jaket-Ecume-Oversize-Hoodie-Olive-Essentiels-i.87216194.1455625420?sp_atk=46ae2653-db17-49e7-8dae-25b88ebfe24f&xptdk=46ae2653-db17-49e7-8dae-25b88ebfe24f","null","null","null","null","null"
"1669205934-32","https://shopee.co.id/mall/brands/11042849","Workout Streetwear","https://shopee.co.id/workoutstreetwear","","343","98% (hitungan jam)","112,1RB","4.8 (53,2RB penilaian)","25 bulan lalu","null","KOTA BANDUNG","51%offWorkout Streetwear Kaos Distro Cream BrokePilih 2, bayar Rp145.000Rp68.600 - Rp75.6008RB TerjualKOTA BANDUNG","https://shopee.co.id/Workout-Streetwear-Kaos-Distro-Cream-Broke-i.327711825.7884871886?sp_atk=82b431fc-ab53-4b77-a0c9-46b61a32e20b&xptdk=82b431fc-ab53-4b77-a0c9-46b61a32e20b","null","null","null","null","null"
"1669205963-33","https://shopee.co.id/mall/brands/11042849","Woof Pack","https://shopee.co.id/woofpack","","88","63% (hitungan jam)","2,6RB","4.6 (4RB penilaian)","4 tahun lalu","null","KOTA JAKARTA BARAT","84%offTas Pouch Clutch Aksesoris Wanita Pria Multifungsi Woof Pack TCpouchXmi1Murah LebayRp70.000Rp10.9002,6RB TerjualKOTA JAKARTA BARAT","https://shopee.co.id/Tas-Pouch-Clutch-Aksesoris-Wanita-Pria-Multifungsi-Woof-Pack-TCpouchXmi1-i.136847255.2090382228?sp_atk=ddd49af7-8b93-41af-9fd6-40b732bb020c&xptdk=ddd49af7-8b93-41af-9fd6-40b732bb020c","null","null","null","null","null"
"1669205988-34","https://shopee.co.id/mall/brands/11042849","Woodcutter","https://shopee.co.id/woodcutter","","174","96% (hitungan jam)","50,2RB","4.8 (22,2RB penilaian)","6 tahun lalu","null","KOTA BEKASI","16%offWOODCUTTER Kemeja Green Oakland Flannel ShirtPilih 2, diskon Rp5.000Rp189.000Rp159.5001,5RB TerjualKOTA BEKASI","https://shopee.co.id/WOODCUTTER-Kemeja-Green-Oakland-Flannel-Shirt-i.11559302.7532185453?sp_atk=2fafb053-791a-49de-b4fe-3529b0d19a39&xptdk=2fafb053-791a-49de-b4fe-3529b0d19a39","null","null","null","null","null"
"1669206012-35","https://shopee.co.id/mall/brands/11042849","Wood","https://shopee.co.id/woodofficialshop","","368","64% (hitungan jam)","10,1RB","4.9 (1,9RB penilaian)","25 bulan lalu","null","KOTA BEKASI","50%offWOOD Modern Fit Chino Pants 2-OPXBSC518O028 SandDiskon Rp20RBRp479.900Rp239.95072 TerjualKOTA BEKASI","https://shopee.co.id/WOOD-Modern-Fit-Chino-Pants-2-OPXBSC518O028-Sand-i.321648624.3371878387?sp_atk=1f1663c8-4b1b-4abe-b257-fa02466a2312&xptdk=1f1663c8-4b1b-4abe-b257-fa02466a2312","null","null","null","null","null"
"1669206044-36","https://shopee.co.id/mall/brands/11042849","Woffi Man","https://shopee.co.id/woffimanofficialshop","","1RB","94% (hitungan jam)","9,7RB","4.8 (2,6RB penilaian)","29 bulan lalu","null","KOTA SURABAYA","80%offWoffi Kaos Pria - Denimize StripesRp380.000Rp75.00083 TerjualKOTA SURABAYA","https://shopee.co.id/Woffi-Kaos-Pria-Denimize-Stripes-i.279757087.7345304149?sp_atk=986e086b-faec-4e45-9c73-296c100e41e1&xptdk=986e086b-faec-4e45-9c73-296c100e41e1","null","null","null","null","null"
"1669206074-37","https://shopee.co.id/mall/brands/11042849","WKND","https://shopee.co.id/wkndclothes","","596","94% (hitungan jam)","148,8RB","4.8 (34,1RB penilaian)","4 tahun lalu","null","KOTA BANDUNG","44%offWKND Sweater Crewneck Original 1074 Cream Be Bold And BraveRp295.000Rp165.0007,5RB TerjualKOTA BANDUNG","https://shopee.co.id/WKND-Sweater-Crewneck-Original-1074-Cream-Be-Bold-And-Brave-i.107851093.7877608885?sp_atk=986b0358-2694-4f06-b8fa-dc14ae2c903f&xptdk=986b0358-2694-4f06-b8fa-dc14ae2c903f","null","null","null","null","null"
"1669206099-38","https://shopee.co.id/mall/brands/11042849","WIN Indonesia","https://shopee.co.id/winofficialshop","","31","74% (hitungan jam)","2,7RB","4.7 (388 penilaian)","10 bulan lalu","null","KAB. BANDUNG","47%offWIN - Parfume Unisex TravelRp80.000Rp42.400101 TerjualKAB. BANDUNG","https://shopee.co.id/WIN-Parfume-Unisex-Travel-i.680129571.20855210672?sp_atk=c717bdb1-176c-4754-8e68-51b4846a8b70&xptdk=c717bdb1-176c-4754-8e68-51b4846a8b70","null","null","null","null","null"
"1669206124-39","https://shopee.co.id/mall/brands/11042849","Will K","https://shopee.co.id/willklondon","","193","73% (hitungan jam)","18,6RB","4.8 (1,6RB penilaian)","5 tahun lalu","null","KOTA SURABAYA","47%offWILL-K LONDON T-shirt Contemporary Work Wear Sage GreenCashback 11%Rp189.900Rp99.90050 TerjualKOTA SURABAYA","https://shopee.co.id/WILL-K-LONDON-T-shirt-Contemporary-Work-Wear-Sage-Green-i.57319952.9653584802?sp_atk=3edbd86d-a191-4e9c-ae2a-a80834c9ccda&xptdk=3edbd86d-a191-4e9c-ae2a-a80834c9ccda","null","null","null","null","null"
"1669206150-40","https://shopee.co.id/mall/brands/11042849","WHSTL.","https://shopee.co.id/whstlofficial","","971","92% (hitungan jam)","55,9RB","4.8 (16,5RB penilaian)","5 tahun lalu","null","KOTA BANDUNG","40%offWHSTL. Topi 5 Panel Pria - Clone Series (5 Pilihan Warna)Diskon Rp5RBRp120.000Rp72.0004,8RB TerjualKOTA BANDUNG","https://shopee.co.id/WHSTL.-Topi-5-Panel-Pria-Clone-Series-(5-Pilihan-Warna)-i.58359064.5832274561?sp_atk=b9197ec6-39e8-4a23-a6f6-1260b742f3c2&xptdk=b9197ec6-39e8-4a23-a6f6-1260b742f3c2","null","null","null","null","null"
"1669206180-41","https://shopee.co.id/mall/brands/11042849","WGB","https://shopee.co.id/wahgedebanget","","292","70% (hitungan jam)","11,3RB","4.9 (6,5RB penilaian)","6 tahun lalu","null","KOTA TANGERANG","Masker+ PRO BIG SIZE Bahan 3 Lapis Non Medis Tebal Earloop Korea Anti Virus WGBGrosirRp34.9002,1RB TerjualKOTA TANGERANG","https://shopee.co.id/Masker-PRO-BIG-SIZE-Bahan-3-Lapis-Non-Medis-Tebal-Earloop-Korea-Anti-Virus-WGB-i.6308095.6654182982?sp_atk=faf068cc-8b19-49c6-b16c-50074be7aae7&xptdk=faf068cc-8b19-49c6-b16c-50074be7aae7","null","null","null","null","null"
"1669206207-42","https://shopee.co.id/mall/brands/11042849","Welldone","https://shopee.co.id/welldone.store","","275","81% (hitungan jam)","182,6RB","4.8 (81,9RB penilaian)","4 tahun lalu","null","KAB. BANDUNG","43%offWelldone Hoodie - Hoodie Fantastic BlackRp349.000Rp199.0003RB TerjualKAB. BANDUNG","https://shopee.co.id/Welldone-Hoodie-Hoodie-Fantastic-Black-i.96896363.6131859864?sp_atk=56a542ed-764b-4904-be0e-e92882ead5a4&xptdk=56a542ed-764b-4904-be0e-e92882ead5a4","null","null","null","null","null"
"1669206235-43","https://shopee.co.id/mall/brands/11042849","Wellborn","https://shopee.co.id/wellborncompany","","344","97% (hitungan jam)","383,4RB","4.8 (173,8RB penilaian)","34 bulan lalu","null","KOTA BANDUNG","74%offWellborn Polo Two Tone Shirt CollectionHadiah GratisRp265.000Rp69.0002,3RB TerjualKOTA BANDUNG","https://shopee.co.id/Wellborn-Polo-Two-Tone-Shirt-Collection-i.218995246.9819735704?sp_atk=70935323-ed1b-43b3-a7dd-c185d3d12e70&xptdk=70935323-ed1b-43b3-a7dd-c185d3d12e70","null","null","null","null","null"
"1669206261-44","https://shopee.co.id/mall/brands/11042849","Wear Ware","https://shopee.co.id/wearware.id","","31","100% (hitungan jam)","1,3RB","4.9 (1,4RB penilaian)","5 tahun lalu","null","KOTA JAKARTA BARAT","26%offWEAR WARE - T Shirt Wanita - Bamboo Cotton V Neck WB003Rp59.200 - Rp80.000535 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/WEAR-WARE-T-Shirt-Wanita-Bamboo-Cotton-V-Neck-WB003-i.45175550.2946904401?sp_atk=c68ebec6-b96d-4ce2-a883-a679ee8e3491&xptdk=c68ebec6-b96d-4ce2-a883-a679ee8e3491","null","null","null","null","null"
"1669206288-45","https://shopee.co.id/mall/brands/11042849","Watchout","https://shopee.co.id/watchout.casual.jeans","","457","99% (hitungan jam)","20,2RB","4.9 (8,7RB penilaian)","31 bulan lalu","null","KOTA BANDUNG","70%offWatchout Short Sleeve Koko - JS8007401Hadiah GratisRp439.900Rp129.900158 TerjualKOTA BANDUNG","https://shopee.co.id/Watchout-Short-Sleeve-Koko-JS8007401-i.243163767.6558577471?sp_atk=a6f6550a-063e-4eae-96cc-8205e7bab5bc&xptdk=a6f6550a-063e-4eae-96cc-8205e7bab5bc","null","null","null","null","null"
"1669206319-46","https://shopee.co.id/mall/brands/11042849","Wassup WSP","https://shopee.co.id/wassup_wsp","","136","100% (hitungan menit)","4,5RB","4.8 (4,5RB penilaian)","18 bulan lalu","null","KAB. TANGERANG","54%off【BPOM】WASSUP BIOAQUA  Essence Mask 10x the effect Whitening Moisturizing SKIN CARE Sleeping MASKER wajah Sheet MASK 25g/28ml Buy 7pcs get Rp1900 offPilih 7, diskon Rp1.900Rp3.699 - Rp4.09910RB+ TerjualKAB. TANGERANG","https://shopee.co.id/%E3%80%90BPOM%E3%80%91WASSUP-BIOAQUA-Essence-Mask-10x-the-effect-Whitening-Moisturizing-SKIN-CARE-Sleeping-MASKER-wajah-Sheet-MASK-25g-28ml-Buy-7pcs-get-Rp1900-off-i.456602822.17125030498?sp_atk=7df46b4a-aec8-4cb6-beee-c95a503b421c&xptdk=7df46b4a-aec8-4cb6-beee-c95a503b421c","null","null","null","null","null"
"1669206345-47","https://shopee.co.id/mall/brands/11042849","Waskito","https://shopee.co.id/batikwaskito","","291","94% (hitungan jam)","12,2RB","4.9 (2RB penilaian)","3 tahun lalu","null","KOTA SURABAYA","67%offMasker Batik Katun murah (random)GrosirRp3.000Rp1.000370 TerjualKOTA SURABAYA","https://shopee.co.id/Masker-Batik-Katun-murah-(random)-i.173440985.13128151389?sp_atk=63c380d4-eead-4e4f-b202-8634f46af396&xptdk=63c380d4-eead-4e4f-b202-8634f46af396","null","null","null","null","null"
"1669206370-48","https://shopee.co.id/mall/brands/11042849","Warning Clothing","https://shopee.co.id/warningclothing","","366","80% (hitungan jam)","14,7RB","4.8 (6,5RB penilaian)","34 bulan lalu","null","KOTA BANDUNG","Warning Praise 1 Polo CapRp149.000335 TerjualKOTA BANDUNG","https://shopee.co.id/Warning-Praise-1-Polo-Cap-i.223114590.5740497020?sp_atk=3e90f434-a5c4-4ae1-8cd5-d80e783c68b9&xptdk=3e90f434-a5c4-4ae1-8cd5-d80e783c68b9","null","null","null","null","null"
"1669206393-49","https://shopee.co.id/mall/brands/11042849","WARDKICK","https://shopee.co.id/wardkick_official_shop","","53","74% (hitungan jam)","5,1RB","4.8 (651 penilaian)","4 tahun lalu","null","KAB. BANDUNG BARAT","50%offWARDKICK Sweater Crewneck black white MetalRp350.000Rp175.0001,5RB TerjualKAB. BANDUNG BARAT","https://shopee.co.id/WARDKICK-Sweater-Crewneck-black-white-Metal-i.145609753.11809220219?sp_atk=1ab1398e-cabc-4924-b25b-a5ef19034854&xptdk=1ab1398e-cabc-4924-b25b-a5ef19034854","null","null","null","null","null"
"1669206423-50","https://shopee.co.id/mall/brands/11042849","Walrus","https://shopee.co.id/walrusfashion","","91","97% (hitungan jam)","13,9RB","4.9 (13,7RB penilaian)","4 tahun lalu","null","KOTA SURABAYA","56%offWalrus Kaos Polo Basic (Polos) Putih  T1021501Diskon Rp5RBRp269.900Rp119.900165 TerjualKOTA SURABAYA","https://shopee.co.id/Walrus-Kaos-Polo-Basic-(Polos)-Putih-T1021501-i.89671317.6213714446?sp_atk=59fd1048-62d1-491f-978f-f25c1ba8cfea&xptdk=59fd1048-62d1-491f-978f-f25c1ba8cfea","null","null","null","null","null"
"1669206450-51","https://shopee.co.id/mall/brands/11042849","WALKOUT","https://shopee.co.id/walkoutclothing","","79","88% (hitungan menit)","20RB","4.8 (606 penilaian)","5 tahun lalu","null","KOTA CIMAHI","28%offWalkout Wallet Bio BrownDiskon 50%Pilih 2, diskon Rp5.000Rp160.000Rp115.000141 TerjualKOTA CIMAHI","https://shopee.co.id/Walkout-Wallet-Bio-Brown-i.68131673.6041062824?sp_atk=d845c691-0464-4cf4-9ae8-1bae12c0dc3e&xptdk=d845c691-0464-4cf4-9ae8-1bae12c0dc3e","null","null","null","null","null"
"1669206473-52","https://shopee.co.id/mall/brands/11042849","WADEZIG!","https://shopee.co.id/wadezigstore","","1,3RB","80% (hitungan jam)","93,5RB","4.8 (11,1RB penilaian)","4 tahun lalu","null","KOTA BANDUNG","WADEZIG! Tshirt - Jerusalem Black On Black #3Murah LebayRp135.000286 TerjualKOTA BANDUNG","https://shopee.co.id/WADEZIG!-Tshirt-Jerusalem-Black-On-Black-3-i.118297438.10730160310?sp_atk=475d5243-7327-4a3d-b3e1-6d597da66e5c&xptdk=475d5243-7327-4a3d-b3e1-6d597da66e5c","null","null","null","null","null"
"1669206497-53","https://shopee.co.id/mall/brands/11042849","VSLSS","https://shopee.co.id/vslss.official","","135","96% (hitungan menit)","1,5RB","4.9 (118 penilaian)","4 tahun lalu","null","KOTA BANDUNG","70%offVslss - Hoodie - Establert - BlackDiskon Rp20RBRp359.000Rp107.7001 TerjualKOTA BANDUNG","https://shopee.co.id/Vslss-Hoodie-Establert-Black-i.74213140.3183746429?sp_atk=77290f4d-1793-46a1-9665-28db90223e7c&xptdk=77290f4d-1793-46a1-9665-28db90223e7c","null","null","null","null","null"
"1669206521-54","https://shopee.co.id/mall/brands/11042849","Vreedom","https://shopee.co.id/vreedomofficial","","38","83% (hitungan jam)","2,2RB","4.9 (433 penilaian)","13 bulan lalu","null","KOTA DEPOK","32%offVREEDOM Hermit Oversized T-shirt BlackDiskon 5%Rp249.000Rp169.999117 TerjualKOTA DEPOK","https://shopee.co.id/VREEDOM-Hermit-Oversized-T-shirt-Black-i.572294517.15017849452?sp_atk=82a5701a-6278-4255-8f64-ec3332b71610&xptdk=82a5701a-6278-4255-8f64-ec3332b71610","null","null","null","null","null"
"1669206549-55","https://shopee.co.id/mall/brands/11042849","Voordurend Love","https://shopee.co.id/voordurend","","238","90% (hitungan jam)","12,1RB","4.8 (3,2RB penilaian)","4 tahun lalu","null","KOTA DENPASAR","10%offVoordurend Love - Mackas Icon Laxtee -  Unisex - Black – Tshirt – Relaxed Fit – Cotton Combed 20sCashback 5%Rp199.000Rp179.10073 TerjualKOTA DENPASAR","https://shopee.co.id/Voordurend-Love-Mackas-Icon-Laxtee-Unisex-Black-%E2%80%93-Tshirt-%E2%80%93-Relaxed-Fit-%E2%80%93-Cotton-Combed-20s-i.119754295.4779971818?sp_atk=f48281c6-4e6e-49ed-b8d6-0a35ae8a3530&xptdk=f48281c6-4e6e-49ed-b8d6-0a35ae8a3530","null","null","null","null","null"
"1669206575-56","https://shopee.co.id/mall/brands/11042849","Von Dutch","https://shopee.co.id/vondutchofficial","","434","43% (hitungan jam)","30,5RB","4.9 (17RB penilaian)","33 bulan lalu","null","KOTA JAKARTA BARAT","30%offVondutch / Kaos / Tshirt / baju 0330BLRp359.000Rp251.300312 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/Vondutch-Kaos-Tshirt-baju-0330BL-i.228625083.4342106284?sp_atk=3363befd-11ea-4e88-9268-fd7e19767504&xptdk=3363befd-11ea-4e88-9268-fd7e19767504","null","null","null","null","null"
"1669206602-57","https://shopee.co.id/mall/brands/11042849","VOLKVOG","https://shopee.co.id/volkvog","","306","98% (hitungan menit)","37,4RB","4.9 (7,7RB penilaian)","4 tahun lalu","null","KOTA BEKASI","43%offVolkvog Jeans Chino Panjang Genova SlimfitRp350.000Rp199.5001RB TerjualKOTA BEKASI","https://shopee.co.id/Volkvog-Jeans-Chino-Panjang-Genova-Slimfit-i.78022274.1336544032?sp_atk=0584346f-ba2c-4d34-b9c6-c4993924ee6e&xptdk=0584346f-ba2c-4d34-b9c6-c4993924ee6e","null","null","null","null","null"
"1669206631-58","https://shopee.co.id/mall/brands/11042849","Volcom","https://shopee.co.id/volcomofficial","","619","100% (hitungan menit)","42,8RB","4.9 (18,5RB penilaian)","26 bulan lalu","null","KAB. BADUNG","30%offVOLCOM - GSB CHILLIN WAISTBAG BLKRp525.000Rp367.000148 TerjualKAB. BADUNG","https://shopee.co.id/VOLCOM-GSB-CHILLIN-WAISTBAG-BLK-i.315833408.6684168805?sp_atk=572b20da-3d41-4575-9719-e86c00449805&xptdk=572b20da-3d41-4575-9719-e86c00449805","null","null","null","null","null"
"1669206658-59","https://shopee.co.id/mall/brands/11042849","VNOISE","https://shopee.co.id/vnoise","","38","78% (hitungan jam)","1,2RB","4.6 (372 penilaian)","5 bulan lalu","null","KAB. BANDUNG","42%offVNOISE - Celana Jogger Pria Trendy Korean StyleGrosirRp120.000Rp70.000650 TerjualKAB. BANDUNG","https://shopee.co.id/VNOISE-Celana-Jogger-Pria-Trendy-Korean-Style-i.804116510.21816706231?sp_atk=925b96fe-a758-40d4-90b4-127354582493&xptdk=925b96fe-a758-40d4-90b4-127354582493","null","null","null","null","null"
